sample,injection,MMHg196,IHg196,MMHg198,MMHg199,MMHg200,MMHg201,MMHg202,IHg198,IHg199,IHg200,IHg201,IHg202,MMHg204,IHg204
1,1,0,0,817,1283,1033,19769,25221,227562,133555,35292,17806,41509,0,0
1,2,0,0,817,1267,1049,19802,24388,222313,130542,34446,18171,40060,0,0
1,3,0,0,817,1233,1042,20152,24387,220193,131487,34059,18023,41418,0,0
2,1,0,0,1983,2150,2750,45958,53515,702553,279338,67816,32074,73448,0,0
2,2,0,0,2033,2217,2667,47463,56210,695941,287031,66388,31199,73363,0,0
2,3,0,0,1983,2200,2667,45995,53192,676586,281168,68828,31381,75502,0,0
3,1,0,0,317,711,808,8945,9330,101880,59710,12643,5634,14521,0,0
3,2,0,0,317,717,817,8817,10179,101816,58056,12542,5604,14384,0,0
3,3,0,0,317,700,815,8609,9970,99892,58972,12973,5750,14443,0,0
4,1,0,0,1633,2167,3083,41068,55597,695254,293022,71637,39205,84165,0,0
4,2,0,0,1617,2167,3033,40134,53411,696457,288819,69307,38093,82627,0,0
4,3,0,0,1667,2233,3050,40855,57226,689861,286655,70470,39554,81283,0,0
5,1,0,0,1458,1750,2367,36608,47489,778944,308636,91298,51314,107490,0,0
5,2,0,0,1425,1767,2400,36424,49440,765261,310123,91908,50381,109028,0,0
5,3,0,0,1467,1742,2417,35724,49745,762849,299599,92066,50874,109850,0,0
6,1,0,0,1650,1767,2067,36586,49760,744702,339406,92670,53668,109191,0,0
6,2,0,0,1633,1817,2007,40941,47063,769676,339175,92654,50432,107423,0,0
6,3,0,0,1633,1767,2017,33656,46794,747134,337130,91738,50066,105597,0,0
7,1,0,0,1592,2433,2900,47313,60409,762487,318098,65510,30391,72774,0,0
7,2,0,0,1617,2422,2850,46994,57757,753735,317714,66460,30265,74283,0,0
7,3,0,0,1600,2383,2917,47597,56434,756045,326474,66705,30672,72830,0,0
8,1,0,0,2100,2617,2492,41745,54565,723352,333045,95809,47448,113584,0,0
8,2,0,0,2092,2625,2417,42210,49863,697819,328001,98842,46964,109120,0,0
8,3,0,0,2083,2633,2467,41059,49881,706798,327983,98530,48434,111601,0,0
9,1,0,0,1467,2173,2933,43511,49730,764366,276996,63509,29757,75816,0,0
9,2,0,0,1417,2150,2917,42510,51275,753427,283452,64438,29247,73503,0,0
9,3,0,0,1433,2167,2958,43503,51129,751821,285174,65046,28934,75943,0,0
10,1,0,0,400,517,833,1900,2367,65029,47525,12851,7184,16378,0,0
10,2,0,0,400,533,850,1867,2383,63891,49058,12791,7067,16202,0,0
10,3,0,0,400,517,817,1883,2350,62655,48350,13168,7048,16597,0,0
11,1,0,0,1717,2457,3667,45297,51662,713436,323482,74853,35792,84094,0,0
11,2,0,0,1667,2450,3717,44493,51939,698726,314873,76289,36158,83962,0,0
11,3,0,0,1733,2467,3700,45208,52569,705944,323323,74938,36908,85461,0,0
12,1,0,0,1383,2106,2717,45212,57719,792060,315748,97662,48830,110047,0,0
12,2,0,0,1400,2183,2767,46227,56738,785124,320813,94111,48849,110782,0,0
12,3,0,0,1367,2167,2783,45690,55992,776513,317576,96818,49679,106724,0,0
13,1,0,0,1683,2608,3150,46364,55631,851197,355943,80395,39427,94496.6946,0,0
13,2,0,0,1650,2717,3100,46885,57542,873164,367930.0514,82203.09902,39227,94819.31689,0,0
13,3,0,0,1625,2667,3100,46120,56539,845338,361453,82677,38927,93405,0,0
14,1,0,0,1883.405811,2733.439388,3250.166885,44127.73547,49730,735366,345654,108809,51333,120318.8759,0,0
14,2,0,0,1833.375784,2533.403935,3233.456713,43052.84828,51059.33775,749440.7847,356729.9007,109947.1965,53352.72692,120375.2117,0,0
14,3,0,0,1833.372834,2433.414386,3200.137806,43028.89981,49075.62691,731598,347614,106911.5543,52453.94766,118812.2407,0,0
15,1,0,0,900.0132002,2216.729994,3208.483154,46339,4233.495791,27538.99254,281944.6368,58414,24938.05328,55939.78185,0,0
15,2,0,0,875.6498661,2200.070503,3200.101404,44627,4266.837725,27088,274263,56777,25553.40808,54901.40258,0,0
15,3,0,0,883.3596591,2233.407186,3233.47794,45543,4267.011092,26512.91599,279458,57527,24654.02058,56456.30141,0,0
16,1,0,0,1450.024675,2216.779847,2466.75972,47272.32903,55536.39731,714751.5956,358185.6631,76697.88154,36693.72291,86158.75381,0,0
16,2,0,0,1460.02508,2233.383885,2450.093379,45661.81585,53982.85616,698687,348361,76768.46124,35958,83696.00497,0,0
16,3,0,0,1483.412662,2216.780298,2433,45651,53405.72501,700886,345903,76096.39694,36564,84548,0,0
17,1,0,0,466.6682167,602.3903775,958.3518212,8801.051353,11101.01833,109228,64226,12701.35788,5558.612287,16360,0,0
17,2,0,0,466.6700667,616.6784419,933.3524337,8734,11043,110114,64850.64045,12801.38782,5483.648479,16713,0,0
17,3,0,0,483.3409084,600.0047,925.0106126,8717.452375,10918,111296.5716,66158.63905,13018.08652,5617.04707,16307.93855,0,0
18,1,0,0,1150.018525,2416.765446,3066.813324,39626.2598,48384,585115,288877,66863.9993,30590.55203,75504.70136,0,0
18,2,0,0,1150.025476,2467,3016.853904,38892,47710.6868,588101,282955,68374,30656.97618,76556.12792,0,0
18,3,0,0,1108.367122,2441.778521,3066.86633,39222,47729.11921,575488,285064,66161.09763,29989.48403,74021.23006,0,0
19,1,0,0,13836,32463,45078,62716,96237,696497,324167,140239,79143,172729,0,0
19,2,0,0,14062,31722,45445,62307,95108,710570,323667,141756,76506,172092,0,0
19,3,0,0,13785,32523,45873,60698,97474,706818,321956,136921,76606,173538,0,0
20,1,0,0,533,933,764,2000,2467,48782,32406,10858,6134,12085,0,0
20,2,0,0,550,900,750,2017,2433,47163,33373,10751,6146,12051,0,0
20,3,0,0,542,917,750,2000,2475,47590,33272,10534,6200,11985,0,0
21,1,0,0,5517,11751,19060,27039,44171,264071,98002,34138,17702,46111,0,0
21,2,0,0,5467,11784,19552,26996,43425,260817,99051,34644,17402,45848,0,0
21,3,0,0,5467,12121,19519,27422,44934,263489,95612,35000,17445,44877,0,0
22,1,0,0,13811,34000,42194,59139,95416,667984,330786,119816,59821,138366,0,0
22,2,0,0,13452,33335,43411,58021,93163,665450,329152,120277,61237,138648,0,0
22,3,0,0,13719,32883,41942,58159,96232,646519,327473,116431,61394,135293,0,0
23,1,0,0,12286,33539,42078,59786,98376,663536,281609,103703,56129,125362,0,0
23,2,0,0,11920,33223,42853,57650,94942,661878,276347,106142,54939,123958,0,0
23,3,0,0,11994,33639,42676,56999,93374,640536,272182,103218,54720,123151,0,0
24,1,0,0,12749,36273,45187,63627,102707,708271,319474,116404,62242,143971,0,0
24,2,0,0,12944,34657,45596,64007,101308,714696,326007,119863,62061,144115,0,0
24,3,0,0,13202,37474,45921,64937,105053,713493,325107,119780,61351,145818,0,0
