sample,injection,MMHg199,MMHg200,MMHg201,MMHg202,MMHg204,IHg199,IHg200,IHg201,IHg202,IHg204
1,1,4550,52344,20628,8653,2033,1450781,342396,161123,403320,7133272
1,2,6012,55111,20930,9450,2733,1491417,364940,169648,402883,7292567
1,3,6043,58638,21035,7400,2591,1421786,337586,156466,384017,6928787
2,1,5570,60010,19799,9334,2417,1456472,381384,188650,459367,7230535
2,2,5669,62055,19994,9678,2851,1469347,384695,194613,456971,7284136
2,3,5978,60859,20575,12100,2236,1521377,403534,204507,472866,7653985
3,1,7675,53000,18938,9974,2135,1369938,337019,160772,384366,6459009
3,2,7400,57329,20824,9898,2117,1421350,352642,165157,406028,6738086
3,3,5931,56307,20329,9654,1987,1341036,330484,153312,375769,6300626
4,1,5724,51999,22043,8254,1137,1441965,361665,160745,411430,6741368
4,2,7883,52204,20919,8259,1456,1394674,355600,163347,403600,6599645
4,3,5200,55870,26044,10076,2978,1424080,357033,162659,404480,6784864
5,1,5240,53499,17183,9117,427,425,308916,143427,351294,6040220
5,2,5429,57229,19135,8905,2917,1273282,307427,147094,356656,6210256
5,3,7900,58506,21652,9684,1850,1322129,325546,152411,375286,6520252
6,1,9179,120390,23933,14826,15101,1240723,200145,78104,224588,8839921
6,2,10234,130040,22977,15142,15279,1278683,201583,80819,230916,9070184
6,3,10109,138537,26815,16148,14413,1378427,211945,85658,251065,9822376
7,1,9889,138781,23600,16740,229845,1335607,207495,84415,248822,10528805
7,2,8989,130571,22767,16097,223232,1307108,209121,80753,236518,10397722
7,3,11434,129546,25545,16643,225948,1306354,199977,83169,240497,10230730
8,1,9831,126084,24071,15315,203811,1365290,236639,91010,251218,11096490
8,2,7984,123219,24147,15180,195700,1318936,223692,80969,247069,10527110
8,3,9265,119451,24152,14844,196081,1296371,218673,79980,238451,10469200
9,1,9209,127958,25084,16596,198210,1304926,215871,83605,249091,10361991
9,2,9734,128563,23759,17011,212245,1366456,224794,86396,250265,10755129
9,3,10375,123386,21613,14790,193537,1217605,204639,76483,232094,9816461
10,1,9420,133746,24865,19189,188074,1410000,229979,94801,282656,12511140
10,2,9435,114312,25625,16592,166675,1245334,208279,81263,247644,11077490
10,3,8803,124876,24064,18138,185501,1348951,220171,88600,268010,12131283
11,1,9296,121413,22668,15200,151636,1309355,208358,82064,232693,9474510
11,2,6528,126957,22767,14033,158168,1359866,212568,83719,244257,9956701
11,3,9082,120836,23673,17273,160900,1308784,211427,84570,235224,9532409
12,1,10926,164300,28973,21401,239139,1536997,274717,114718,334948,14555699
12,2,10642,152540,28780,18023,231690,1479916,257890,108909,324984,14045210
12,3,11965,156054,27670,20251,223111,1468522,254232,102136,316407,13766344
13,1,8595,121928,23702,16875,21559,1374522,230232,85086,250643,10317935
13,2,9793,115197,23802,13138,17378,1310411,209822,82472,229452,9668661
13,3,9703,113847,22360,13443,16215,1299181,215045,86035,239746,9765513
14,1,11084,120936,25683,21099,700988,1304740,214508,81636,248491,11113314
14,2,11192,120546,24012,22764,722053,1285882,217442,82942,254531,11164492
14,3,9987,138459,24335,23190,747552,1331619,231582,85988,259600,11648280
15,1,7587,119178,22976,21150,511549,1365531,235349,93909,288188,12918645
15,2,8020,119029,22701,20585,511449,1337328,233415,89623,282619,12526759
15,3,8265,120195,24022,22943,511525,1333575,231564,90514,272116,12482238
16,1,8818,116863,25667,18926,568496,1329663,207244,79718,235746,9671046
16,2,8700,115226,25169,21086,528384,1259226,198969,77234,225897,9351413
16,3,9684,118217,26471,22935,592575,1391991,218814,86154,252247,10100793
17,1,10217,127212,22630,19231,235124,1267218,205391,86892,256967,11486368
17,2,10517,129299,25127,22118,236191,1323090,208354,92366,264753,11860536
17,3,9921,131512,24677,19143,240933,1377415,224734,92347,283542,12812792
18,1,9567,125607,22425,17328,334217,1280739,213632,80930,244160,11367557
18,2,8947,124076,23319,22302,338410,1325143,215732,88520,265338,11977722
18,3,9208,119874,22962,18100,330112,1244886,209638,80384,241543,11026145
19,1,10367,117066,24819,18483,282187,1272004,214580,87805,262995,11465294
19,2,6056,106655,17600,15755,274718,1311076,213364,89298,264919,11765242
19,3,11084,120421,23032,16868,279212,1279600,209844,92106,259411,11301614
20,1,9484,121629,23522,14378,15471,1356377,240875,92477,277275,11896657
20,2,7574,123929,25450,13187,17077,1350274,234173,93661,277479,12088420
20,3,7363,126291,25066,14134,13901,1335863,233609,96100,280147,11930918
21,1,7867,120733,25252,16339,173622,1318226,210267,83472,256168,10810369
21,2,9041,131965,24395,17212,171105,1330646,211425,85597,256767,11112998
21,3,10918,124792,23832,15493,173523,1366987,218608,89532,253335,11223618
22,1,8084,108419,20456,16341,149060,1355060,228562,89433,271214,10941167
22,2,8025,103883,23085,17500,146667,1339335,232937,90405,262795,10852964
22,3,8000,103104,22541,12639,144768,1356064,227758,91528,263785,10863998
23,1,8065,108984,22750,13107,137930,1293674,214513,82257,236607,10186741
23,2,8167,107138,22193,13661,126960,1253427,212690,80302,236806,10013382
23,3,8014,103964,22103,15573,136678,1266984,205491,80551,228375,9945951
24,1,9850,116515,23537,16893,118520,1326568,217964,86250,258578,11226134
24,2,9622,113474,20912,14364,107557,1187752,197791,80100,230814,10006231
24,3,9564,110080,21912,16343,119196,1224047,195271,83386,241521,10337885
25,1,8250,98918,21866,14034,145371,1264114,211959,83799,253546,10696082
25,2,9800,99768,24398,15012,154894,1321049,218846,88748,261652,11184744
25,3,7134,103556,24916,15704,152281,1333604,224821,88014,266191,11394802
26,1,8546,112241,21584,14750,152581,1282795,214855,83957,255249,11178648
26,2,9017,104638,23117,13379,148029,1282908,202295,83893,251191,11126945
26,3,7214,111235,21131,14606,150322,1341247,221536,91691,268590,11682901
