sample,extract,spike_IHg,spike_MMHg,sed,acid
1,0.07054,0.05021,0.05021,0.05722,6.02313
2,0.07018,0.05036,0.05036,0.05017,6.01628
3,0.06909,0.05029,0.05029,0.0493,6.02427
4,0.07088,0.05025,0.05025,0.04975,6.02126
5,0.07065,0.0488,0.0488,0.05391,6.02223
6,0.07158,0.05059,0.05059,0.04945,5.99543
7,0.07191,0.05024,0.05024,0.05016,6.02863
8,0.06992,0.05036,0.05036,0.05206,6.02964
9,0.07,0.05021,0.05021,0.05198,6.02397
10,0.0705,0.05024,0.05024,0.0515,5.91299
11,0.07253,0.05029,0.05029,0.04879,6.0279
12,0.07207,0.05024,0.05024,0.04879,6.03217
13,0.07277,0.05015,0.05015,0.05302,6.01942
14,0.07165,0.05021,0.05021,0.04906,6.03176
15,0.07207,0.05027,0.05027,0.0488,6.01211
16,0.07152,0.05029,0.05029,0.05334,6.02131
17,0.07173,0.05006,0.05006,0.04937,6.03178
18,0.07194,0.05027,0.05027,0.05295,6.0383
19,0.07243,0.05011,0.05011,0.05292,6.02159
20,0.07165,0.04873,0.04873,0.05097,6.0139
21,0.07065,0.05198,0.05198,0.05162,6.03838
22,0.07208,0.05038,0.05038,0.05373,6.03425
23,0.07244,0.05029,0.05029,0.04942,6.02984
24,0.0721,0.049,0.049,0.04797,6.02791
25,0.07223,0.05031,0.05031,0.04853,6.01774
26,0.07279,0.05011,0.05011,0.04943,6.03257
27,0.0721,0.05043,0.05043,0.05062,6.03387
28,0.07197,0.05014,0.05014,0.04797,6.02609
29,0.07216,0.05026,0.05026,0.05033,6.04593
30,0.07254,0.05029,0.05029,0.05352,6.03228
31,0.07216,0.04991,0.04991,0.05052,6.01854
32,0.07176,0.0503,0.0503,0.05019,6.02965
33,0.0704,0.05001,0.05001,0.05055,6.02516
34,0.07181,0.05002,0.05002,0.05418,6.03046
35,0.06984,0.04991,0.04991,0.0502,6.04087
36,0.07208,0.05063,0.05063,0.05396,6.02841
37,0.06992,0.05024,0.05024,0.04939,6.0209
38,0.07008,0.05023,0.05023,0.04901,6.02579
39,0.06938,0.0503,0.0503,0.04966,6.01913
40,0.06945,0.05024,0.05024,0.05087,6.02607
41,0.06934,0.04036,0.04036,0.04961,6.01067
42,0.06941,0.04029,0.04029,0.05093,6.00898
43,0.07011,0.04015,0.04015,0.04993,5.95729
44,0.07099,0.04018,0.04018,0.04898,5.97369
45,0.07042,0.04019,0.04019,0.05033,6.00258
46,0.07124,0.04042,0.04042,0.05128,5.99146
47,0.07188,0.0402,0.0402,0.04868,5.99545
48,0.0713,0.04048,0.04048,0.04859,6.00281
49,0.07095,0.04025,0.04025,0.04946,5.99901
50,0.06934,0.04036,0.04036,0.05092,6.04284
51,0.07244,0.04019,0.04019,0.0525,5.95772
52,0.06977,0.04022,0.04022,0.05371,5.97423
53,0.07124,0.04059,0.04059,0.04888,6.00932
54,0.07044,0.0404,0.0404,0.04977,5.99882
55,0.06913,0.04024,0.04024,0.05152,5.9885
56,0.07043,0.04015,0.04015,0.04918,5.98736
57,0.07709,0.04,0.04,0.04984,6.01734
58,0.06928,0.04,0.04,0.05424,5.9972
59,0.06717,0.0387,0.0387,0.05178,5.97864
60,0.07032,0.04044,0.04044,0.05052,5.99752
61,0.07883,0.04001,0.04001,0.05009,6.02004
62,0.07771,0.04,0.04,0.05037,6.01642
63,0.0702,0.04008,0.04008,0.05317,6.01617
64,0.0693,0.03999,0.03999,0.05197,6.02312
65,0.06962,0.04003,0.04003,0.0536,6.02258
66,0.06941,0.03997,0.03997,0.05251,6.02259
67,0.06871,0.03995,0.03995,0.05082,6.00847
68,0.06925,0.04013,0.04013,0.04857,6.02221
69,0.06948,0.04003,0.04003,0.04913,6.00698
70,0.0695,0.03984,0.03984,0.05079,6.00864
71,0.06978,0.03995,0.03995,0.05006,6.01137
72,0.06953,0.0398,0.0398,0.05052,6.02552
73,0.068,0.03999,0.03999,0.05152,6.01238
74,0.07275,0.04,0.04,0.0543,6.01293
75,0.07267,0.03995,0.03995,0.05488,6.02045
76,0.07235,0.04009,0.04009,0.05222,6.01658
77,0.07222,0.04016,0.04016,0.04897,6.0233
78,0.0726,0.04016,0.04016,0.05098,6.02574
79,0.07215,0.03998,0.03998,0.0494,6.01823
80,0.07256,0.04011,0.04011,0.05282,6.00935
81,0.07249,0.04007,0.04007,0.05035,6.02612
82,0.0727,0.04014,0.04014,0.05191,6.00727
83,0.07209,0.03996,0.03996,0.05184,6.01958
84,0.07239,0.04003,0.04003,0.04833,6.01193
85,0.0699,0.04014,0.04014,0.05099,6.01036
86,0.06795,0.04014,0.04014,0.0478,5.99125
87,0.0665,0.04005,0.04005,0.04744,6.02237
88,0.0692,0.03997,0.03997,0.05632,6.01962
89,0.07071,0.04007,0.04007,0.05116,6.00707
90,0.06872,0.040221,0.040221,0.05212,6.01473
91,0.06953,0.04003,0.04003,0.04834,6.03506
92,0.06981,0.0401,0.0401,0.04963,6.03553
93,0.06762,0.03995,0.03995,0.04769,6.04412
94,0.06975,0.04017,0.04017,0.04823,6.05837
95,0.06743,0.04023,0.04023,0.05227,6.04583
96,0.07085,0.04016,0.04016,0.05024,6.06614
