sample,injection,MMHg196,IHg196,MMHg198,IHg198,MMHg199,IHg199,MMHg200,IHg200,MMHg201,IHg201,MMHg202,IHg202,MMHg204,IHg204
1,1,0,0,1783,1697706,8809,1177221,4050,590476,51834,345781,123102,718588,0,0
1,2,0,0,1600,1578886,9451,1128676,4033,494213,51438,322619,135089,655568,0,0
1,3,0,0,2008,1835186,10484,1312269,4467,597741,61808,382329,152785,782197,0,0
2,1,0,0,1617,1850265,9076,1364887,3617,769100,54944,496929,143376,1030417,0,0
2,2,0,0,1533,2105963,10451,1472301,3700,918878,58123,502254,167298,1205584,0,0
2,3,0,0,1333,1999815,10859,1466673,3333,855895,62142,516911,161847,1110823,0,0
3,1,0,0,1633,1834639,10859,1116302,3917,508723,52202,296400,164790,620840,0,0
3,2,0,0,1917,2194195,11184,1312436,4450,609321,54965,337023,168448,732405,0,0
3,3,0,0,1376,1808473,10467,1125172,3275,458909,49617,281942,161774,626702,0,0
4,1,0,0,1959,2243041,22837,1649805,4500,735786,77668,416899,181769,904593,0,0
4,2,0,0,1983,1952371,21086,1476128,4583,670520,75320,379946,167554,812650,0,0
4,3,0,0,1500,1920187,17535,1427087,3767,650143,68369,360708,149771,820283,0,0
5,1,0,0,2117,2045660,19611,1688770,4622,838885,77556,466771,156103,1015416,0,0
5,2,0,0,2680,2242464,23229,1854773,6090,877529,84016,516190,183284,1098699,0,0
5,3,0,0,1513,2005765,18686,1628628,4345,781949,70878,444118,158437,972467,0,0
6,1,0,0,2591,2032551,18394,1468838,3977,646119,75344,379863,158254,810575,0,0
6,2,0,0,1912,2087261,19511,1495203,4353,690564,78606,381776,167353,817138,0,0
6,3,0,0,1822,2178194,20128,1605055,5889,727701,77425,424240,176911,893016,0,0
7,1,0,0,1233,2088748,10951,1445118,3900,770100,58739,445321,158900,960104,0,0
7,2,0,0,730,2223484,12109,1553451,5583,827512,64042,479842,170901,1012562,0,0
7,3,0,0,2400,2268708,12301,1620931,2849,848037,65945,505893,178842,1033101,0,0
8,1,0,0,1503,2044082,11951,1408845,3180,671618,62384,405478,162791,843515,0,0
8,2,0,0,2584,2075566,11234,1461709,5079,703571,64645,422543,162906,865102,0,0
8,3,0,0,1491,2312656,13835,1579099,5473,786156,69335,439520,194459,972422,0,0
9,1,0,0,1117,2084193,11751,1414199,5306,683683,63509,390878,168134,823952,0,0
9,2,0,0,2992,2075415,11201,1438103,3967,686705,63311,398862,165394,841242,0,0
9,3,0,0,1875,2056567,11859,1418499,4785,677025,61476,400146,172400,811030,0,0
10,1,0,0,1293,2034682,19477,1731763,3358,681175,90855,403006,166244,820432,0,0
10,2,0,0,1312,2119095,21086,1770772,6182,708847,100012,401456,171677,846288,0,0
10,3,0,0,1859,2279208,23545,1913518,7831,757533,103505,430677,187364,934767,0,0
11,1,0,0,1583,1863211,14010,1521778,3550,590385,70588,334079,122784,738404,0,0
11,2,0,0,2324,1797973,16318,1453740,5051,714733,75699,411803,138194,887234,0,0
11,3,0,0,2217,1792714,16035,1453954,5833,692869,75156,416892,133918,857601,0,0
12,1,0,0,1483,1784944,18744,1392216,5053,680189,92084,394407,167182,843077,0,0
12,2,0,0,981,1729050,18702,1470890,7092,717008,87878,401694,170564,853888,0,0
12,3,0,0,1877,1716372,18019,1382083,5858,682247,85452,398482,154688,831408,0,0
13,1,0,0,981,1687484,11501,1405539,3733,682225,80544,409561,156890,843944,0,0
13,2,0,0,1715,1728240,11259,1420329,3774,691841,78124,421831,156926,817488,0,0
13,3,0,0,1255,1768481,11169,1514816,4617,744293,88160,449003,172873,907793,0,0
